Австралия, Доллар (австралийский доллар), Australian Dollar, AUD
Австрия, Евро, Euro, EUR
Азербайджан, Манат (азербайджанский манат), Azerbaijanian Manat, AZN
Аландские острова, Евро, Euro, EUR
Албания, Лек, Lek, ALL
Алжир, Динар (алжирский динар), Algerian Dinar, DZD
Американское Самоа, Доллар (доллар США), US Dollar, USD
Ангилья, Доллар (восточно-карибский доллар), East Caribbean Dollar, XCD
Ангола, Кванза, Kwanza, AOA
Андорра, Евро, Euro, EUR
Антигуа и Барбуда, Доллар (восточно-карибский доллар), East Caribbean Dollar, XCD
Аргентина, Песо (аргентинское песо), Argentine Peso, ARS
Армения, Драм (армянский драм), Armenian Dram, AMD
Аруба, Флорин (арубанский флорин), Aruban Guilder, AWG
Афганистан, Афгани, Afghani, AFN
Багамы, Доллар (багамский доллар), Bahamian Dollar, BSD
Бангладеш, Така, Taka, BDT
Барбадос, Доллар (барбадосский доллар), Barbados Dollar, BBD
Бахрейн, Динар (бахрейнский динар), Bahraini Dinar, BHD
Белиз, Доллар (белизский доллар), Belize Dollar, BZD
Белоруссия, Рубль (белорусский рубль), Belarussian Ruble, BYN
Бельгия, Евро, Euro, EUR
Бенин, Франк (франк КФА BCEAO), CFA Franc BCEAO, XOF
Бермуды, Доллар (бермудский доллар), Bermudian Dollar, BMD
Болгария, Лев (болгарский лев), Bulgarian Lev, BGN
Боливия, Боливиано, Boliviano, BOB
Бонэйр, Доллар (доллар США), US Dollar, USD
Босния и Герцеговина, Марка (конвертируемая марка), Convertible Mark, BAM
Ботсвана, Пула, Pula, BWP
Бразилия, Реал (бразильский реал), Brazilian Real, BRL
Британская территория
в Индийском океане, Доллар (доллар США), US Dollar, USD
Бруней, Доллар (брунейский доллар)[12], Brunei Dollar, BND
Буркина-Фасо, Франк (франк КФА BCEAO), CFA Franc BCEAO, XOF
Бурунди, Франк (бурундийский франк), Burundi Franc, BIF
Бутан, Нгултрум[13], Ngultrum, BTN
Вануату, Вату, Vatu, VUV
Ватикан, Евро, Euro, EUR
Венгрия, Форинт, Forint, HUF
Венесуэла, Боливар (боливар фуэрте), Bolivar[14], VEF
Британские
Виргинские острова, Доллар (доллар США), US Dollar, USD
Американские
Виргинские острова, Доллар (доллар США), US Dollar, USD
Вьетнам, Донг, Dong, VND
Габон, Франк (франк КФА BEAC), CFA Franc BEAC, XAF
Гаити, Гурд[15], Gourde, HTG
Гайана, Доллар (гайанский доллар), Guyana Dollar, GYD
Гамбия, Даласи, Dalasi, GMD
Гана, Седи (ганский седи), Ghana Cedi, GHS
Гваделупа, Евро, Euro, EUR
Гватемала, Кетсаль, Quetzal, GTQ
Гвинея, Франк (гвинейский франк), Guinea Franc, GNF
Гвинея-Бисау, Франк (франк КФА BCEAO), CFA Franc BCEAO, XOF
Германия, Евро, Euro, EUR
Гернси, Фунт (фунт стерлингов), Pound Sterling, GBP
Гибралтар, Фунт (гибралтарский фунт), Gibraltar Pound, GIP
Гондурас, Лемпира, Lempira, HNL
Гонконг, Доллар (гонконгский доллар), Hong Kong Dollar, HKD
Гренада, Доллар (восточно-карибский доллар), East Caribbean Dollar, XCD
Гренландия, Крона (датская крона), Danish Krone, DKK
Греция, Евро, Euro, EUR
Грузия, Лари, Lari, GEL
Гуам, Доллар (доллар США), US Dollar, USD
Дания, Крона (датская крона), Danish Krone, DKK
Джерси, Фунт (фунт стерлингов), Pound Sterling, GBP
Джибути, Франк (франк Джибути), Djibouti Franc, DJF
Доминика, Доллар (восточно-карибский доллар), East Caribbean Dollar, XCD
Доминиканская Республика, Песо (доминиканское песо), Dominican Peso, DOP
Евросоюз, Евро, Euro, EUR
Египет, Фунт (египетский фунт), Egyptian Pound, EGP
Замбия, Квача (замбийская квача), Zambian Kwacha, ZMW
Западная Сахара, Дирхам (марокканский дирхам), Moroccan Dirham, MAD
Зимбабве, Доллар (доллар Зимбабве), Zimbabwe Dollar, ZWL
Израиль, Шекель (новый израильский шекель), New Israeli Sheqel, ILS
Индия, Рупия (индийская рупия), Indian Rupee, INR
Индонезия, Рупия, Rupiah, IDR
Иордания, Динар (иорданский динар), Jordanian Dinar, JOD
Ирак, Динар (иракский динар), Iraqi Dinar, IQD
Иран, Риал (иранский риал)[19], Iranian Rial, IRR
Ирландия, Евро, Euro, EUR
Исландия, Крона (исландская крона), Iceland Krona, ISK
